INFO | 2025-07-16 22:04:22 | Успешное соединение с БД
INFO | 2025-07-16 22:04:22 | Успешное соединение с БД
ERROR | 2025-07-16 22:04:22 | Введен некорректный формат даты .
INFO | 2025-07-16 22:06:52 | Успешное соединение с БД
INFO | 2025-07-16 22:06:52 | Успешное соединение с БД
INFO | 2025-07-16 22:09:41 | Успешное соединение с БД
INFO | 2025-07-16 22:09:41 | Успешное соединение с БД
INFO | 2025-07-16 22:16:38 | Успешное соединение с БД
INFO | 2025-07-16 22:16:38 | Успешное соединение с БД
INFO | 2025-07-16 22:20:31 | Успешное соединение с БД
INFO | 2025-07-16 22:20:31 | Успешное соединение с БД
INFO | 2025-07-16 22:21:16 | Успешное соединение с БД
INFO | 2025-07-16 22:21:16 | Успешное соединение с БД
INFO | 2025-07-16 22:21:31 | Успешное соединение с БД
INFO | 2025-07-16 22:21:32 | Успешное соединение с БД
INFO | 2025-07-16 22:23:02 | Успешное соединение с БД
INFO | 2025-07-16 22:23:03 | Успешное соединение с БД
INFO | 2025-07-16 22:24:17 | Успешное соединение с БД
INFO | 2025-07-16 22:24:17 | Успешное соединение с БД
INFO | 2025-07-16 22:31:04 | Успешное соединение с БД
INFO | 2025-07-16 22:31:04 | Успешное соединение с БД
INFO | 2025-07-16 22:31:04 | Успешное соединение с БД
INFO | 2025-07-16 22:31:04 | В daysstatistics загружена информация: 2025-06-29 подъем был 2025-06-29T07:17:00, сон 2025-06-29T23:25:00
ERROR | 2025-07-16 22:31:04 | Заметки за 2025-06-29 не были сохранены: DataBase.insert_daily_habits() takes 3 positional arguments but 4 were given
INFO | 2025-07-16 22:32:37 | Успешное соединение с БД
INFO | 2025-07-16 22:32:37 | Успешное соединение с БД
INFO | 2025-07-16 22:32:37 | Успешное соединение с БД
INFO | 2025-07-16 22:32:37 | В daysstatistics загружена информация: 2025-06-29 подъем был 2025-06-29T07:17:00, сон 2025-06-29T23:25:00
INFO | 2025-07-16 22:32:37 | Транзакция завершена, все данные загружены
INFO | 2025-07-16 22:32:37 | Заметки за 2025-06-29 сохранены
INFO | 2025-07-16 22:33:19 | Успешное соединение с БД
INFO | 2025-07-16 22:33:19 | Успешное соединение с БД
INFO | 2025-07-16 22:33:19 | Успешное соединение с БД
INFO | 2025-07-16 22:33:19 | В daysstatistics загружена информация: 2025-06-29 подъем был 2025-06-29T07:17:00, сон 2025-06-29T23:25:00
INFO | 2025-07-16 22:33:19 | Транзакция завершена, все данные загружены
INFO | 2025-07-16 22:33:19 | Заметки за 2025-06-29 сохранены
